2015-08-20, 0:05, EK303, Emirates Airlines, Dubai, 0:41
2015-08-20, 0:05, MU553, China Eastern Airlines, Paris Ch. de Gaulle, 0:15
2015-08-20, 0:05, MU219, China Eastern Airlines, Frankfurt, 0:21
2015-08-20, 0:15, CA833, China International Airlines, Paris Ch. de Gaulle, 0:54
2015-08-20, 0:15, 5J075, Cebu Pacific Air, Kalibo, 0:34
2015-08-20, 0:20, ET685, Ethiopian Airlines, Addis Abeba, 0:48
2015-08-20, 0:30, EY867, Etihad Airways, Abu Dhabi, 0:56
2015-08-20, 0:35, SQ825, Singapore Airlines, Singapore, 1:02
2015-08-20, 0:50, QR871, Qatar Airways, Doha, 1:10
2015-08-20, 1:00, CA827, China International Airlines, Munich, 1:12
2015-08-20, 1:05, 5J679, Cebu Pacific Air, Manila Ninoy Aquin, 1:22
2015-08-20, 1:20, D7331, Asia X, Kuala Lumpur, 1:55
2015-08-20, 1:30, CA967, China International Airlines, Milan Malpensa, 1:32
2015-08-20, 1:40, SU207, Aeroflot, Moskau Sheremetyevo, 2:00
2015-08-20, 6:45, Z2029, Philippine Dragon Airlines, Kalibo, 7:17
2015-08-20, 7:00, LV199, Mega Global Air, Male, 10:38
2015-08-20, 7:15, EK305, Emirates Airlines, Dubai, 7:39
2015-08-20, 7:20, LJ102, Korea really Airlines, Cheju, 8:23
2015-08-20, 7:30, TG663, Thai Airways International, Bangkok, 8:36
2015-08-20, 7:35, KA857, Dragonair, Hong Kong, 9:05
2015-08-20, 7:45, 9C8569, China Spring Airlines, Cheju, 8:09
2015-08-20, 7:55, HX235, Hong Kong Airlines, Hong Kong, 9:18
2015-08-20, 8:00, MU269Y, China Eastern Airlines, Nagoya Intl Airport, 10:41
2015-08-20, 8:05, SQ827, Singapore Airlines, Singapore, 9:08
2015-08-20, 8:05, 9C8875, China Spring Airlines, Macau, 9:11
2015-08-20, 8:15, MU279, China Eastern Airlines, Chitose Airport, 9:47
2015-08-20, 8:20, HO1305, Auspicious Airlines, Hong Kong, 9:50
2015-08-20, 8:20, KA871, Dragonair, Hong Kong, 9:32
2015-08-20, 8:20, MU511, China Eastern Airlines, Osaka Kansai, 10:25
2015-08-20, 8:25, 9C8589, China Spring Airlines, Osaka Kansai, 9:41
2015-08-20, 8:30, CZ313, China Southern Airlines, SEOUL, 10:12
2015-08-20, 8:30, MU721, China Eastern Airlines, SEOUL, 11:05
2015-08-20, 8:35, CA803, China International Airlines, Fukuoka, 9:34
2015-08-20, 8:40, KA831, Dragonair, Hong Kong, 9:56
2015-08-20, 8:40, 9C8987, China Spring Airlines, Ibaraki, 9:55
2015-08-20, 8:45, MU5053, China Eastern Airlines, taegu, 10:30
2015-08-20, 8:45, 9C8889, China Spring Airlines, Takamatsu, 10:04
2015-08-20, 8:50, KE896, Korean Air, SEOUL, 11:38
2015-08-20, 8:50, 9C8951, China Spring Airlines, TAIPEI INTL AIRPORT, 9:45
2015-08-20, 8:55, MU225, China Eastern Airlines, Osaka Kansai, 10:56
2015-08-20, 8:55, FM839, Shanghai Airlines, Bangkok, 9:35
2015-08-20, 9:00, MU2583, China Eastern Airlines, Kathmandu, 9:45
2015-08-20, 9:00, JL872, Japan Airlines, Tokyo Narita, 10:22
2015-08-20, 9:05, MU523, China Eastern Airlines, Tokyo Narita, 9:52
2015-08-20, 9:05, FM815, Shanghai Airlines, Tokyo Haneda, 9:30
2015-08-20, 9:05, MU5041, China Eastern Airlines, SEOUL, 10:48
2015-08-20, 9:10, MU5043, China Eastern Airlines, KIMHAE ITNL, 11:21
2015-08-20, 9:10, CA921, China International Airlines, Osaka Kansai, 11:27
2015-08-20, 9:10, FM851, Shanghai Airlines, SUNGSHAN AIRPORT, 9:26
2015-08-20, 9:15, NX137, Macau Airlines, Macau, 9:43
2015-08-20, 9:20, AY058, Finnair, Helsinki Vantaa, 10:33
2015-08-20, 9:20, MU501, China Eastern Airlines, Hong Kong, 10:07
2015-08-20, 9:25, FM801, Shanghai Airlines, SUNGSHAN AIRPORT, 10:36
2015-08-20, 9:25, MU557, China Eastern Airlines, Komatsu, 16:09
2015-08-20, 9:30, MU529, China Eastern Airlines, Nagoya Intl Airport, 11:51
2015-08-20, 9:30, LX189, Swiss International Air Lines, Zuerich, 10:48
2015-08-20, 9:40, CX365, Cathay Pacific Airways, Hong Kong, 11:35
2015-08-20, 9:40, MU537, China Eastern Airlines, Tokyo Haneda, 9:56
2015-08-20, 9:50, HO1309, Auspicious Airlines, TAIPEI INTL AIRPORT, 12:40
2015-08-20, 9:55, MU567, China Eastern Airlines, Singapore, 11:08
2015-08-20, 9:55, CA405, China International Airlines, Nagoya Intl Airport, 11:33
2015-08-20, 9:55, MU515, China Eastern Airlines, Osaka Kansai, 11:54
2015-08-20, 10:00, MU205, China Eastern Airlines, Chiang Mai, 10:53
2015-08-20, 10:00, CA929, China International Airlines, Tokyo Narita, 12:13
2015-08-20, 10:05, GA895, Indonesia Airlines, Cengekareng, 10:57
2015-08-20, 10:05, DL296, Delta Air Lines, Tokyo Narita, 12:27
2015-08-20, 10:05, FM817, Shanghai Airlines, Macau, 10:30
2015-08-20, 10:10, GE379, Taiwans TransAsia Airways, TAI ZHONG, 12:48
2015-08-20, 10:10, MU517, China Eastern Airlines, Fukuoka, 12:46
2015-08-20, 10:15, NH922, All Nippon Airways, Tokyo Narita, 12:20
2015-08-20, 10:15, MU5059, China Eastern Airlines, Cheju, 12:09
2015-08-20, 10:15, MH387, Malaysia Airlines, Kuala Lumpur, 12:00
2015-08-20, 10:20, FM811, Shanghai Airlines, Hong Kong, 11:03
2015-08-20, 10:20, AF117, Air France, Paris Ch. de Gaulle, 11:20
2015-08-20, 10:30, 9C8601, China Spring Airlines, Nagoya Intl Airport, 12:35
2015-08-20, 10:35, CA155, China International Airlines, Sendai, 13:30
2015-08-20, 10:40, HO1389, Auspicious Airlines, Fukuoka, 12:53
2015-08-20, 10:45, MU2085, China Eastern Airlines, NAHA, 11:43
2015-08-20, 11:00, KE894, Korean Air, SEOUL, 13:47
2015-08-20, 11:00, BA168, British Airways, London Heathrow, 11:52
2015-08-20, 11:05, CA195, China International Airlines, TAIPEI INTL AIRPORT, 12:31
2015-08-20, 11:10, KE876, Korean Air, KIMHAE ITNL, 15:05
2015-08-20, 11:20, B7501, Airways, SUNGSHAN AIRPORT, 12:15
2015-08-20, 11:30, KA803, Dragonair, Hong Kong, 13:28
2015-08-20, 11:30, HO1315, Auspicious Airlines, GAOXIONG AIRPORT, 12:22
2015-08-20, 11:30, MU587, China Eastern Airlines, New York John F. Ken, 12:51
2015-08-20, 11:35, MU507, China Eastern Airlines, Hong Kong, 12:55
2015-08-20, 11:40, VS251, Virgin Atlantic Airways, London Heathrow, 13:19
2015-08-20, 11:40, SU209, Aeroflot, Moskau Sheremetyevo, 12:50
2015-08-20, 11:40, OZ312, Asiana Airlines, KIMHAE ITNL, 15:10
2015-08-20, 11:40, OZ362, Asiana Airlines, SEOUL, 14:04
2015-08-20, 11:45, MU2019, China Eastern Airlines, SHIZUOKA, 14:32
2015-08-20, 11:45, CA935, China International Airlines, Frankfurt, 12:24
2015-08-20, 11:50, JL874, Japan Airlines, Tokyo Narita, 14:02
2015-08-20, 11:50, HX237, Hong Kong Airlines, Hong Kong, 14:49
2015-08-20, 11:55, MU5065, China Eastern Airlines, Moskau Sheremetyevo, 12:33
2015-08-20, 12:00, CA857, China International Airlines, Osaka Kansai, 13:54
2015-08-20, 12:00, DL588, Delta Air Lines, Seattle Washington, 15:20
2015-08-20, 12:00, MU521, China Eastern Airlines, Tokyo Narita, 14:18
2015-08-20, 12:05, MU207, China Eastern Airlines, Toronto, 17:34
2015-08-20, 12:05, CI502, China Airlines Ltd., TAIPEI INTL AIRPORT, 13:00
2015-08-20, 12:10, NH974, All Nippon Airways, Osaka Kansai, 15:00
2015-08-20, 12:10, UA858, United Airlines, San Francisco, 14:43
2015-08-20, 12:10, MU719, China Eastern Airlines, Nagoya Intl Airport, 14:22
2015-08-20, 12:10, CA915, China International Airlines, Fukuoka, 13:35
